round_epochs,val_loss,val_acc,loss,acc,alphabet_size,batch_size,control_class_weight,conv_activation,conv_bias_initializer,conv_kernel_initializer,conv_output_space,dense_activation,dense_bias_initializer,dense_kernel_initializer,dense_units_layer_2,dense_units_layer_3,dropout,epochs,large_filter_length,last_activation,loss,lr,max_sentence_length,number_of_large_filters,number_of_small_filters,optimizer,pd_class_weight,pool_length,small_filter_length
10,0.6937853525846432,0.3504273504273504,0.6932036994864988,0.3670162059956215,49,16,0.7899096385542169,relu,uniform,uniform,8,relu,uniform,uniform,16,64,0.0,200,20,sigmoid,binary_crossentropy,2.08,14000,4,2,<class 'keras.optimizers.Adam'>,1.3623376623376624,2,20
8,0.6944981803241957,0.35042735271983677,0.6933363093093421,0.5138226884165983,49,32,0.7899096385542169,relu,uniform,uniform,8,relu,uniform,uniform,32,64,0.30000000000000004,200,40,sigmoid,binary_crossentropy,4.06,14000,4,2,<class 'keras.optimizers.Nadam'>,1.3623376623376624,2,20
6,0.281772212849723,0.35042735271983677,0.2168904538377338,0.3670162058535704,49,32,0.7899096385542169,relu,uniform,uniform,32,relu,uniform,uniform,32,32,0.2,200,20,sigmoid,logcosh,8.02,14000,2,2,<class 'keras.optimizers.Nadam'>,1.3623376623376624,2,5
11,0.08472242562944053,0.7350427355521765,0.08363602005719457,0.7540514776119173,49,16,0.7899096385542169,relu,uniform,uniform,32,relu,uniform,uniform,16,32,0.1,200,80,sigmoid,logcosh,0.1,14000,2,2,<class 'keras.optimizers.Adam'>,1.3623376623376624,2,10
15,0.5451484796328422,0.7863247888719934,0.59028817950486,0.6959008577326801,49,32,0.7899096385542169,relu,uniform,uniform,8,relu,uniform,uniform,32,32,0.2,200,20,sigmoid,binary_crossentropy,0.1,14000,2,1,<class 'keras.optimizers.Adam'>,1.3623376623376624,4,10
6,0.15200869649903387,0.6495726495726496,0.21689046565638598,0.6329837943168909,49,16,0.7899096385542169,relu,uniform,uniform,32,relu,uniform,uniform,32,64,0.30000000000000004,200,160,sigmoid,logcosh,8.02,14000,4,1,<class 'keras.optimizers.Nadam'>,1.3623376623376624,4,20
6,0.15200870114768672,0.649572652629298,0.21689046321310693,0.6329837936350456,49,32,0.7899096385542169,relu,uniform,uniform,16,relu,uniform,uniform,32,64,0.0,200,40,sigmoid,logcosh,8.02,14000,4,2,<class 'keras.optimizers.Nadam'>,1.3623376623376624,2,10
6,0.12003424699999328,0.6495726495726496,0.12019434071246275,0.3851286941647416,49,16,0.7899096385542169,relu,uniform,uniform,16,relu,uniform,uniform,32,64,0.30000000000000004,200,80,sigmoid,logcosh,8.02,14000,2,2,<class 'keras.optimizers.Adam'>,1.3623376623376624,2,5
6,0.12011161459307386,0.649572652629298,0.1201909120248771,0.3755958050745118,49,32,0.7899096385542169,relu,uniform,uniform,8,relu,uniform,uniform,16,64,0.2,200,20,sigmoid,logcosh,4.06,14000,2,4,<class 'keras.optimizers.Nadam'>,1.3623376623376624,4,20
6,0.1200587555893466,0.6495726495726496,0.12014554235001083,0.6158245950227016,49,16,0.7899096385542169,relu,uniform,uniform,8,relu,uniform,uniform,16,64,0.4,200,160,sigmoid,logcosh,8.02,14000,2,4,<class 'keras.optimizers.Adam'>,1.3623376623376624,2,10
